0.8782,0.8775,0.8755,0.8748,0.8769,0.8790,0.8805,0.8816,0.8833,0.8864,0.8903,0.8935,0.8982,0.9030,0.9064,0.9083
0.8759,0.8752,0.8735,0.8731,0.8756,0.8780,0.8799,0.8814,0.8834,0.8867,0.8907,0.8939,0.8985,0.9033,0.9066,0.9085
0.8720,0.8721,0.8720,0.8732,0.8763,0.8795,0.8821,0.8842,0.8865,0.8899,0.8935,0.8958,0.8980,0.9001,0.9020,0.9040
0.8679,0.8689,0.8709,0.8739,0.8779,0.8819,0.8853,0.8880,0.8906,0.8939,0.8969,0.8979,0.8969,0.8955,0.8953,0.8971
0.8649,0.8665,0.8697,0.8739,0.8786,0.8834,0.8876,0.8907,0.8936,0.8967,0.8990,0.8987,0.8954,0.8914,0.8894,0.8907
0.8631,0.8651,0.8690,0.8740,0.8793,0.8845,0.8890,0.8924,0.8956,0.8984,0.8997,0.8983,0.8932,0.8871,0.8835,0.8844
0.8616,0.8640,0.8689,0.8748,0.8806,0.8859,0.8905,0.8941,0.8973,0.8996,0.9001,0.8975,0.8903,0.8817,0.8762,0.8770
0.8599,0.8627,0.8684,0.8750,0.8812,0.8866,0.8913,0.8950,0.8983,0.9002,0.9000,0.8966,0.8878,0.8771,0.8701,0.8709
0.8582,0.8611,0.8668,0.8736,0.8800,0.8855,0.8901,0.8940,0.8974,0.8995,0.8992,0.8955,0.8864,0.8755,0.8681,0.8688
0.8596,0.8617,0.8659,0.8714,0.8772,0.8815,0.8849,0.8882,0.8921,0.8950,0.8955,0.8923,0.8845,0.8753,0.8690,0.8691
0.8637,0.8648,0.8666,0.8699,0.8741,0.8762,0.8774,0.8795,0.8838,0.8879,0.8894,0.8870,0.8811,0.8743,0.8696,0.8690
0.8679,0.8682,0.8682,0.8692,0.8715,0.8713,0.8702,0.8710,0.8753,0.8803,0.8828,0.8811,0.8766,0.8715,0.8679,0.8674
0.8699,0.8695,0.8680,0.8669,0.8674,0.8668,0.8660,0.8665,0.8699,0.8742,0.8765,0.8756,0.8724,0.8688,0.8665,0.8664
0.8701,0.8690,0.8655,0.8620,0.8608,0.8618,0.8637,0.8650,0.8667,0.8690,0.8702,0.8699,0.8689,0.8676,0.8668,0.8668
0.8698,0.8681,0.8629,0.8571,0.8543,0.8566,0.8607,0.8626,0.8628,0.8634,0.8635,0.8638,0.8645,0.8653,0.8658,0.8657
0.8695,0.8676,0.8618,0.8549,0.8505,0.8517,0.8550,0.8562,0.8556,0.8555,0.8553,0.8560,0.8576,0.8593,0.8604,0.8605
