0.8789,0.8769,0.8776,0.8782,0.8759,0.8683,0.8578,0.8493,0.8479,0.8518,0.8566,0.8597,0.8620,0.8655,0.8686,0.8706
0.8760,0.8737,0.8743,0.8748,0.8723,0.8643,0.8532,0.8440,0.8424,0.8465,0.8516,0.8548,0.8574,0.8613,0.8648,0.8670
0.8774,0.8751,0.8733,0.8710,0.8673,0.8597,0.8493,0.8407,0.8390,0.8415,0.8449,0.8474,0.8514,0.8579,0.8635,0.8660
0.8797,0.8774,0.8728,0.8673,0.8621,0.8552,0.8461,0.8387,0.8368,0.8372,0.8383,0.8398,0.8457,0.8555,0.8636,0.8664
0.8788,0.8765,0.8708,0.8638,0.8581,0.8520,0.8438,0.8372,0.8353,0.8346,0.8345,0.8355,0.8424,0.8540,0.8634,0.8663
0.8727,0.8702,0.8655,0.8602,0.8557,0.8507,0.8442,0.8390,0.8375,0.8374,0.8380,0.8393,0.8450,0.8546,0.8625,0.8653
0.8639,0.8609,0.8586,0.8565,0.8539,0.8505,0.8468,0.8440,0.8431,0.8442,0.8462,0.8481,0.8515,0.8568,0.8616,0.8639
0.8561,0.8527,0.8525,0.8531,0.8521,0.8499,0.8484,0.8474,0.8470,0.8489,0.8520,0.8544,0.8561,0.8581,0.8603,0.8622
0.8535,0.8499,0.8500,0.8510,0.8503,0.8481,0.8466,0.8455,0.8451,0.8471,0.8502,0.8527,0.8542,0.8559,0.8579,0.8598
0.8547,0.8513,0.8512,0.8519,0.8510,0.8478,0.8440,0.8409,0.8400,0.8414,0.8439,0.8460,0.8483,0.8515,0.8547,0.8565
0.8569,0.8537,0.8534,0.8541,0.8532,0.8488,0.8424,0.8370,0.8355,0.8361,0.8377,0.8395,0.8428,0.8478,0.8524,0.8542
0.8573,0.8543,0.8541,0.8548,0.8541,0.8494,0.8419,0.8355,0.8337,0.8339,0.8351,0.8366,0.8403,0.8462,0.8515,0.8533
0.8543,0.8512,0.8514,0.8527,0.8524,0.8479,0.8404,0.8339,0.8324,0.8337,0.8362,0.8383,0.8413,0.8459,0.8502,0.8518
0.8493,0.8462,0.8470,0.8490,0.8494,0.8450,0.8372,0.8303,0.8292,0.8330,0.8383,0.8416,0.8433,0.8453,0.8475,0.8489
0.8445,0.8413,0.8428,0.8457,0.8466,0.8423,0.8343,0.8272,0.8265,0.8324,0.8400,0.8444,0.8449,0.8447,0.8452,0.8464
0.8424,0.8395,0.8408,0.8433,0.8444,0.8408,0.8339,0.8279,0.8274,0.8334,0.8409,0.8452,0.8453,0.8443,0.8441,0.8452
